id,名前,タイプ1,高さ,重さ,世代,ステータス,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ,捕まえやすさ,進化,画像URL
317,マルノーム,どく,1.7,80,3,467,100,73,83,73,83,55,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/317.png
318,キバニア,みず,0.8,20.8,3,305,45,90,20,65,20,65,225,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/318.png
319,サメハダー,みず,1.8,88.8,3,460,70,120,40,95,40,95,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/319.png
320,ホエルコ,みず,2,130,3,400,130,70,35,70,35,60,125,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/320.png
321,ホエルオー,みず,14.5,398,3,500,170,90,45,90,45,60,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/321.png
322,ドンメル,ほのお,0.7,24,3,305,60,60,40,65,45,35,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/322.png
323,バクーダ,ほのお,1.9,220,3,460,70,100,70,105,75,40,150,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/323.png
324,コータス,ほのお,0.5,80.4,3,470,70,85,140,85,70,20,90,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/324.png
325,バネブー,エスパー,0.7,30.6,3,330,60,25,35,70,80,60,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/325.png
326,ブーピッグ,エスパー,0.9,71.5,3,470,80,45,65,90,110,80,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/326.png
327,パッチール,ノーマル,1.1,5,3,360,60,60,60,60,60,60,255,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/327.png
328,ナックラー,じめん,0.7,15,3,290,45,100,45,45,45,10,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/328.png
329,ビブラーバ,じめん,1.1,15.3,3,340,50,70,50,50,50,70,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/329.png
330,フライゴン,じめん,2,82,3,520,80,100,80,80,80,100,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/330.png
331,サボネア,くさ,0.4,51.3,3,335,50,85,40,85,40,35,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/331.png
332,ノクタス,くさ,1.3,77.4,3,475,70,115,60,115,60,55,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/332.png
333,チルット,ノーマル,0.4,1.2,3,310,45,40,60,40,75,50,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/333.png
334,チルタリス,ドラゴン,1.1,20.6,3,490,75,70,90,70,105,80,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/334.png
335,ザングース,ノーマル,1.3,40.3,3,458,73,115,60,60,60,90,90,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/335.png
336,ハブネーク,どく,2.7,52.5,3,458,73,100,60,100,60,65,90,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/336.png
337,ルナトーン,いわ,1,168,3,460,90,55,65,95,85,70,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/337.png
338,ソルロック,いわ,1.2,154,3,460,90,95,85,55,65,70,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/338.png
339,ドジョッチ,みず,0.4,1.9,3,288,50,48,43,46,41,60,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/339.png
340,ナマズン,みず,0.9,23.6,3,468,110,78,73,76,71,60,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/340.png
341,ヘイガニ,みず,0.6,11.5,3,308,43,80,65,50,35,35,205,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/341.png
342,シザリガー,みず,1.1,32.8,3,468,63,120,85,90,55,55,155,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/342.png
343,ヤジロン,じめん,0.5,21.5,3,300,40,40,55,40,70,55,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/343.png
344,ネンドール,じめん,1.5,108,3,500,60,70,105,70,120,75,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/344.png
345,リリーラ,いわ,1,23.8,3,355,66,41,77,61,87,23,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/345.png
346,ユレイドル,いわ,1.5,60.4,3,495,86,81,97,81,107,43,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/346.png
347,アノプス,いわ,0.7,12.5,3,355,45,95,50,40,50,75,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/347.png
348,アーマルド,いわ,1.5,68.2,3,495,75,125,100,70,80,45,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/348.png
349,ヒンバス,みず,0.6,7.4,3,200,20,15,20,10,55,80,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/349.png
350,ミロカロス,みず,6.2,162,3,540,95,60,79,100,125,81,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/350.png
351,ポワルン,ノーマル,0.3,0.8,3,420,70,70,70,70,70,70,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/351.png
352,カクレオン,ノーマル,1,22,3,440,60,90,70,60,120,40,200,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/352.png
353,カゲボウズ,ゴースト,0.6,2.3,3,295,44,75,35,63,33,45,225,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/353.png
354,ジュペッタ,ゴースト,1.1,12.5,3,455,64,115,65,83,63,65,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/354.png
355,ヨマワル,ゴースト,0.8,15,3,295,20,40,90,30,90,25,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/355.png
356,サマヨール,ゴースト,1.6,30.6,3,455,40,70,130,60,130,25,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/356.png
357,トロピウス,くさ,2,100,3,460,99,68,83,72,87,51,200,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/357.png
358,チリーン,エスパー,0.6,1,3,455,75,50,80,95,90,65,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/358.png
359,アブソル,あく,1.2,47,3,465,65,130,60,75,60,75,30,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/359.png
360,ソーナノ,エスパー,0.6,14,3,260,95,23,48,23,48,23,125,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/360.png
361,ユキワラシ,こおり,0.7,16.8,3,300,50,50,50,50,50,50,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/361.png
362,オニゴーリ,こおり,1.5,256.5,3,480,80,80,80,80,80,80,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/362.png
363,タマザラシ,こおり,0.8,39.5,3,290,70,40,50,55,50,25,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/363.png
364,トドグラー,こおり,1.1,87.6,3,410,90,60,70,75,70,45,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/364.png
365,トドゼルガ,こおり,1.4,150.6,3,530,110,80,90,95,90,65,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/365.png
366,パールル,みず,0.4,52.5,3,345,35,64,85,74,55,32,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/366.png
367,ハンテール,みず,1.7,27,3,485,55,104,105,94,75,52,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/367.png
368,サクラビス,みず,1.8,22.6,3,485,55,84,105,114,75,52,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/368.png
369,ジーランス,みず,1,23.4,3,485,100,90,130,45,65,55,25,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/369.png
370,ラブカス,みず,0.6,8.7,3,330,43,30,55,40,65,97,225,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/370.png
371,タツベイ,ドラゴン,0.6,42.1,3,300,45,75,60,40,30,50,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/371.png
372,Draschel,ドラゴン,1.1,110.5,3,420,65,95,100,60,50,50,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/372.png
373,ボーマンダ,ドラゴン,1.5,102.6,3,600,95,135,80,110,80,100,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/373.png
374,ダンバル,はがね,0.6,95.2,3,300,40,55,80,35,60,30,3,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/374.png
375,メタング,はがね,1.2,202.5,3,420,60,75,100,55,80,50,3,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/375.png
376,メタグロス,はがね,1.6,550,3,600,80,135,130,95,90,70,3,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/376.png
377,レジロック,いわ,1.7,230,3,580,80,100,200,50,100,50,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/377.png
378,レジアイス,こおり,1.8,175,3,580,80,50,100,100,200,50,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/378.png
379,レジスチル,はがね,1.9,205,3,580,80,75,150,75,150,50,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/379.png
380,ラティアス,ドラゴン,1.4,40,3,600,80,80,90,110,130,110,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/380.png
381,ラティオス,ドラゴン,2,60,3,600,80,90,80,130,110,110,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/381.png
382,カイオーガ,みず,4.5,352,3,670,100,100,90,150,140,90,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/382.png
383,グラードン,じめん,3.5,950,3,670,100,150,140,100,90,90,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/383.png
384,レックウザ,ドラゴン,7,206.5,3,680,105,150,90,150,90,95,45,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/384.png
385,ジラーチ,はがね,0.3,1.1,3,600,100,100,100,100,100,100,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/385.png
386,デオキシス,エスパー,1.7,60.8,3,600,50,150,50,150,50,150,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/386.png
387,ナエトル,くさ,0.4,10.2,4,318,55,68,64,45,55,31,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/387.png
388,ハヤシガメ,くさ,1.1,97,4,405,75,89,85,55,65,36,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/388.png
389,ドダイトス,くさ,2.2,310,4,525,95,109,105,75,85,56,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/389.png
390,ヒコザル,ほのお,0.5,6.2,4,309,44,58,44,58,44,61,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/390.png
391,モウカザル,ほのお,0.9,22,4,405,64,78,52,78,52,81,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/391.png
392,ゴウカザル,ほのお,1.2,55,4,534,76,104,71,104,71,108,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/392.png
393,Piplup,みず,0.4,5.2,4,314,53,51,53,61,56,40,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/393.png
394,ポッタイシ,みず,0.8,23,4,405,64,66,68,81,76,50,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/394.png
395,エンペルト,みず,1.7,84.5,4,530,84,86,88,111,101,60,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/395.png
396,ムックル,ノーマル,0.3,2,4,245,40,55,30,30,30,60,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/396.png
397,ムクバード,ノーマル,0.6,15.5,4,340,55,75,50,40,40,80,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/397.png
398,ムクホーク,ノーマル,1.2,24.9,4,485,85,120,70,50,60,100,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/398.png
399,ビッパ,ノーマル,0.5,20,4,250,59,45,40,35,40,31,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/399.png
400,ビーダル,ノーマル,1,31.5,4,410,79,85,60,55,60,71,127,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/400.png
401,コロボーシ,むし,0.3,2.2,4,194,37,25,41,25,41,25,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/401.png
402,コロトック,むし,1,25.5,4,384,77,85,51,55,51,65,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/402.png
403,コリンク,でんき,0.5,9.5,4,263,45,65,34,40,34,45,235,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/403.png
404,ルクシオ,でんき,0.9,30.5,4,363,60,85,49,60,49,60,120,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/404.png
405,レントラー,でんき,1.4,42,4,523,80,120,79,95,79,70,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/405.png
406,スボミー,くさ,0.2,1.2,4,280,40,30,35,50,70,55,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/406.png
407,ロズレイド,くさ,0.9,14.5,4,515,60,70,65,125,105,90,75,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/407.png
408,ズガイドス,いわ,0.9,31.5,4,350,67,125,40,30,30,58,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/408.png
409,ラムパルド,いわ,1.6,102.5,4,495,97,165,60,65,50,58,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/409.png
410,タテトプス,いわ,0.5,57,4,350,30,42,118,42,88,30,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/410.png
411,トリデプス,いわ,1.3,149.5,4,495,60,52,168,47,138,30,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/411.png
412,ミノムッチ,むし,0.2,3.4,4,224,40,29,45,29,45,36,120,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/412.png
413,ミノマダム,むし,0.5,6.5,4,424,60,59,85,79,105,36,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/413.png
414,ガーメイル,むし,0.9,23.3,4,424,70,94,50,94,50,66,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/414.png
415,ミツハニー,むし,0.3,5.5,4,244,30,30,42,30,42,70,120,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/415.png
416,ビークイン,むし,1.2,38.5,4,474,70,80,102,80,102,40,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/416.png
417,パチリス,でんき,0.4,3.9,4,405,60,45,70,45,90,95,200,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/417.png
418,ブイゼル,みず,0.7,29.5,4,330,55,65,35,60,30,85,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/418.png
419,フローゼル,みず,1.1,33.5,4,495,85,105,55,85,50,115,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/419.png
420,チェリンボ,くさ,0.4,3.3,4,275,45,35,45,62,53,35,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/420.png
421,チェリム,くさ,0.5,9.3,4,450,70,60,70,87,78,85,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/421.png
422,カラナクシ,みず,0.3,6.3,4,325,76,48,48,57,62,34,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/422.png
423,トリトドン,みず,0.9,29.9,4,475,111,83,68,92,82,39,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/423.png
424,エテボース,ノーマル,1.2,20.3,4,482,75,100,66,60,66,115,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/424.png
425,フワンテ,ゴースト,0.4,1.2,4,348,90,50,34,60,44,70,125,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/425.png
426,フワライド,ゴースト,1.2,15,4,498,150,80,44,90,54,80,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/426.png
427,ミミロル,ノーマル,0.4,5.5,4,350,55,66,44,44,56,85,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/427.png
428,ミミロップ,ノーマル,1.2,33.3,4,480,65,76,84,54,96,105,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/428.png
429,ムウマージ,ゴースト,0.9,4.4,4,495,60,60,60,105,105,105,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/429.png
430,ドンカラス,あく,0.9,27.3,4,505,100,125,52,105,52,71,30,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/430.png
431,ニャルマー,ノーマル,0.5,3.9,4,310,49,55,42,42,37,85,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/431.png
432,ブニャット,ノーマル,1,43.8,4,452,71,82,64,64,59,112,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/432.png
433,リーシャン,エスパー,0.2,0.6,4,285,45,30,50,65,50,45,120,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/433.png
434,スカンプー,どく,0.4,19.2,4,329,63,63,47,41,41,74,225,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/434.png
435,スカタンク,どく,1,38,4,479,103,93,67,71,61,84,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/435.png
436,ドーミラー,はがね,0.5,60.5,4,300,57,24,86,24,86,23,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/436.png
437,ドータクン,はがね,1.3,187,4,500,67,89,116,79,116,33,90,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/437.png
438,ウソハチ,いわ,0.5,15,4,290,50,80,95,10,45,10,255,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/438.png
439,マネネ,エスパー,0.6,13,4,310,20,25,45,70,90,60,145,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/439.png
440,ピンプク,ノーマル,0.6,24.4,4,220,100,5,5,15,65,30,130,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/440.png
441,ペラップ,ノーマル,0.5,1.9,4,411,76,65,45,92,42,91,30,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/441.png
442,ミカルゲ,ゴースト,1,108,4,485,50,92,108,92,108,35,100,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/442.png
443,フカマル,ドラゴン,0.7,20.5,4,300,58,70,45,40,45,42,45,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/443.png
444,ガバイト,ドラゴン,1.4,56,4,410,68,90,65,50,55,82,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/444.png
445,ガブリアス,ドラゴン,1.9,95,4,600,108,130,95,80,85,102,45,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/445.png
446,ゴンベ,ノーマル,0.6,105,4,390,135,85,40,40,85,5,50,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/446.png
447,リオル,かくとう,0.7,20.2,4,285,40,70,40,35,40,60,75,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/447.png
448,ルカリオ,かくとう,1.2,54,4,525,70,110,70,115,70,90,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/448.png
449,ヒポポタス,じめん,0.8,49.5,4,330,68,72,78,38,42,32,140,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/449.png
450,カバルドン,じめん,2,300,4,525,108,112,118,68,72,47,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/450.png
451,スコルピ,どく,0.8,12,4,330,40,50,90,30,55,65,120,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/451.png
452,ドラピオン,どく,1.3,61.5,4,500,70,90,110,60,75,95,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/452.png
453,グレッグル,どく,0.7,23,4,300,48,61,40,61,40,50,140,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/453.png
454,ドクロッグ,どく,1.3,44.4,4,490,83,106,65,86,65,85,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/454.png
455,マスキッパ,くさ,1.4,27,4,454,74,100,72,90,72,46,200,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/455.png
456,ケイコウオ,みず,0.4,7,4,330,49,49,56,49,61,66,190,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/456.png
457,ネオラント,みず,1.2,24,4,460,69,69,76,69,86,91,75,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/457.png
458,タマンタ,みず,1,65,4,345,45,20,50,60,120,50,25,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/458.png
459,ユキカブリ,くさ,1,50.5,4,334,60,62,50,62,60,40,120,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/459.png
460,ユキノオー,くさ,2.2,135.5,4,494,90,92,75,92,85,60,60,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/460.png
461,マニューラ,あく,1.1,34,4,510,70,120,65,45,85,125,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/461.png
462,ジバコイル,でんき,1.2,180,4,535,70,70,115,130,90,60,30,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/462.png
463,ベロベルト,ノーマル,1.7,140,4,515,110,85,95,80,95,50,30,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/463.png
464,ドサイドン,じめん,2.4,282.8,4,535,115,140,130,55,55,40,30,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/464.png
465,モジャンボ,くさ,2,128.6,4,535,100,100,125,110,50,50,30,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/465.png
466,エレキブル,でんき,1.8,138.6,4,540,75,123,67,95,85,95,30,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/466.png
467,ブーバーン,ほのお,1.6,68,4,540,75,95,67,125,95,83,30,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/467.png
468,トゲキッス,フェアリー,1.5,38,4,545,85,50,95,120,115,80,30,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/468.png
469,メガヤンマ,むし,1.9,51.5,4,515,86,76,86,116,56,95,30,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/469.png
470,リーフィア,くさ,1,25.5,4,525,65,110,130,60,65,95,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/470.png
471,グレイシア,こおり,0.8,25.9,4,525,65,60,110,130,95,65,45,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/471.png
472,グライオン,じめん,2,42.5,4,510,75,95,125,45,75,95,30,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/472.png
473,マンムー,こおり,2.5,291,4,530,110,130,80,70,60,80,50,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/473.png
474,ポリゴンＺ,ノーマル,0.9,34,4,535,85,80,70,135,75,90,30,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/474.png
